,,,,,MORPHOLOGY,,PASSIVE PROPERTIES (Figure 2),,,,,,,,ACTION POTENTIAL PROPERTIES (Figure 4),,,,,,,,,,,,,,,,,REPETITIVE FIRING PROPERTIES (Figure 5),,,,,,,,,,,,,VSAG (Figure 3),,,,,,,,,
Date,Age,Cell Type,Cell ID,,DIC image (Y/N),Soma area (px2),File Name ,Time ,RMP (mV),Ih(pA),Rs (M𝞨),Ri  (M𝞨),Cm (pF),,File Name ,Time/Timing,Onset rapidness,Step N# for 1st Spike ,Force (V),Ithresh (pA),Ithresh (pA/pF),RMP (mV),Vthresh(mV),Spike Height (mV),AHP Height (mV),AHP(V),AHP(mV),Peak Amplitude (mV),Half Height (mV),Spike Width (ms),,File Name ,Time ,Cm,Ith (pA),Rheobase (pA/pF),First AP Delay(s),First AP Delay(ms),Max No. Spikes,mean Interspike Intervals (ms) max spikes sweep ,ISI CV max spikes sweep,Max freq (Hz),Slope of I-O freq Curve until it rises,,File Name ,Time ,Ith(pA),Hold(mV),Peak (mV),Steady State(mV),Index ,Amplitude(mV),RB Firing (y/n),%cells with RB firing
190705,23,OBB,190705_OB_2,,,,m190705d,0,-44,-22,17.9906,455.111116289264,38.28,,m190705d,90/112,5.151,7,0.035,70,1.82863113897597,-58.776855,-35.8582,57.678223,38.98616,-0.7484436,-74.84436,93.536423,10.9100115,0.75,,m190705d,150,38.28,10,0.26123301985371,0.023,23,25,0.02,0.13,51.302,12.79,,m190705d,600,30,-58.2849,-100.224,-93.8819,0.848778,41.9391,1,
191003,18,OBB,191003_OB_1,,,,m191003c,0,-60,0,23.6729,351.9656,19.35,,m191003c,10,6.71,9,0.045,90,4.65116279069767,-56.9186,-34.01,39.14,41.29,-0.753,-75.3,73.15,2.565,0.75,,m191003c,60,19.35,10,0.516795865633075,0.08231,82.31,24,0.02,0.26,61.235,4.1775,,m191003d,220,120,-57.8283,-101.904,-100.417,0.966263,44.0757,1,
191003,18,OBB,191003_OB_5,,,,m191003n,5,-48,-80,21.0835,271.7081,31.68,,m191003n,135,9.48,10,0.05,100,3.15656565656566,-60.2718,-39.6881,51.651,41.305552,-0.80993652,-80.993652,91.3391,5.98145,0.7,,m191003n,205,31.68,20,0.631313131313131,0.07099,70.99,38,0.01,0.16,76.0335,9.08,,m191003o,165,80,-63.3956,-100.808,-98.0998,0.927612,37.4124,0,
191004,19,OBB,191004_OB_3a,,,,m191004g,0,-52,-10,21.4478,246.3759,31.71,,m191004g,120,10.62,16,0.08,160,5.04572690003154,-60.7416,-41.2292,46.2341,39.398241,-0.80627441,-80.627441,87.4633,2.50245,0.7,,m191004g,220,31.71,50,1.57678965625985,0.10367,103.67,28,0.02,0.12,58.457,8.401,,m191004h,280,50,-64.5176,-100.795,-98.5269,0.937479,36.2774,0,
191010,25,OBB,191010_OB_1,,,,m191010a,0,-56,-13,16.2604,196.9231,34.26,,m191010a,130,5.52,14,0.07,140,4.08639813193228,-59.173584,-39.9628,54.3365,31.35678,-0.7131958,-71.31958,94.2993,7.18685,0.65,,m191010a,260,34.26,50,1.45942790426153,0.22586,225.86,26,0.02,0.06,51.9055,7.6061,,m191010c,145,100,-58.6004,-101.151,-94.9832,0.855048,42.5506,0,
191107,16,OBB,191107_OB_2,,,,m191107c,0,-60,0,13.6876,134.7368,48.65,,m191107d,65,12.5,2,0.07,140,2.87769784172662,-61.1555,-36.4227,43.4113,32.318145,-0.68740845,-68.740845,79.834,3.4943,0.55,,m191107d,220,48.65,80,1.64439876670092,0.50068,500.68,11,0.05,0.2,22.3994,5.44,,m191107f,185,140,-59.0007,-102.091,-95.938,0.857207,43.0903,0,
191205,30,OBB,191205_OB_1,,,,m191205a,160,-60,0,23.6353,378.8208,30.27,,m191205a,240,2.62,12,0.06,120,3.96432111000991,-59.4203,-31.8756,47.5311,48.248301,-0.80123901,-80.123901,79.4067,7.82775,0.9,,m191205a,330,30.27,30,0.991080277502478,0.06859,68.59,31,0.02,0.14,63.181,7.786,,m191205b,185,60,-60.3432,-103.211,-98.0863,0.880453,42.8678,0,
191205,30,OBB,191205_OB_3,,,,m191205k,210,-50,-10,18.5696,728.1778,21.14,,m191205k,235,12.33,7,0.035,70,3.3112582781457,-58.2186,-39.6881,55.5573,35.842906,-0.75531006,-75.531006,95.2454,7.9346,0.75,,m191205l,0,21.14,20,0.946073793755913,0.0672,67.2,33,0.02,0.13,75.9989,5.609,,m191205m,150,60,-57.8365,-111.429,-105.103,0.881961,53.5925,1,
200204,27,OBB,200204_OB_2,,,,m200204d,0,-58,-2,16.7286,337.4665,30.89,,m200204d,100,7.46,10,0.05,100,3.23729362253156,-60.1396,-37.2314,39.7949,40.832565,-0.78063965,-78.063965,77.0263,1.28175,0.85,,m200204d,430,30.89,30,0.971188086759469,0.11666,116.66,26,0.02,0.24,65.6288,7.817,,m200204d,575,60,-56.9246,-99.8344,-98.7646,0.975069,42.9098,1,
